sep=,
sender,timestamp,longitude,latitude,acc,batt,charge,time,emergency,azimuth,signalStrength,wifiSignalStrength
blaz@test,2024-06-14 10:50:24+02:00,18.6961,45.5487,0,30,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:50:34+02:00,18.6961,45.5487,0,31,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:50:44+02:00,18.6961,45.5487,0,31,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:50:54+02:00,18.6961,45.5487,0,32,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:51:04+02:00,18.6961,45.5487,0,32,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:51:14+02:00,18.6961,45.5487,0,32,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:51:24+02:00,18.6961,45.5487,0,32,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:51:34+02:00,18.6961,45.5487,0,32,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:51:44+02:00,18.6961,45.5487,0,32,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:51:54+02:00,18.6961,45.5487,0,33,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:52:04+02:00,18.6961,45.5487,0,33,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:52:14+02:00,18.6961,45.5487,0,34,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:52:24+02:00,18.6961,45.5487,0,34,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:52:34+02:00,18.6961,45.5487,0,34,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:52:44+02:00,18.6961,45.5487,0,34,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:52:54+02:00,18.6961,45.5487,0,34,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:53:04+02:00,18.6961,45.5487,0,35,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:53:14+02:00,18.6961,45.5487,0,35,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:53:24+02:00,18.6961,45.5487,0,35,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:53:34+02:00,18.6961,45.5487,0,35,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:53:44+02:00,18.6961,45.5487,0,36,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:53:54+02:00,18.6961,45.5487,0,36,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:54:04+02:00,18.6961,45.5487,0,36,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:54:14+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:54:24+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:54:34+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:54:44+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:54:54+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:55:04+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:55:14+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:55:24+02:00,18.6961,45.5487,0,37,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:55:34+02:00,18.6961,45.5487,0,38,1,0,0,11.054657,-73.0,-200.0
blaz@test,2024-06-14 10:55:44+02:00,18.6961,45.5487,0,38,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:55:54+02:00,18.6961,45.5487,0,38,1,0,0,11.054657,-73.0,-200.0
blaz@test,2024-06-14 10:56:04+02:00,18.6961,45.5487,0,38,1,0,0,11.054657,-72.0,-200.0
blaz@test,2024-06-14 10:56:14+02:00,18.6961,45.5487,0,39,1,0,0,11.054657,-71.0,-200.0
blaz@test,2024-06-14 10:56:24+02:00,18.6961,45.5487,0,39,1,0,0,11.054657,-72.0,-200.0
rdean@risnjak,2024-06-14 10:57:52+02:00,18.6961,45.5487,0,40,1,0,0,11.054657,-67.0,-200.0
rdean@risnjak,2024-06-14 10:57:53+02:00,18.6961,45.5487,0,40,1,0,0,11.054657,-67.0,-200.0
rdean@risnjak,2024-06-14 10:57:53+02:00,18.6961,45.5487,0,40,1,0,0,11.054657,-67.0,-200.0
rdean@risnjak,2024-06-14 10:58:03+02:00,18.6961,45.5487,0,41,1,0,0,11.054657,-69.0,-200.0
rdean@risnjak,2024-06-14 10:58:13+02:00,18.6961,45.5487,0,41,1,0,0,11.054657,-69.0,-200.0
rdean@risnjak,2024-06-14 10:58:23+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-69.0,-200.0
rdean@risnjak,2024-06-14 10:58:33+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-69.0,-200.0
rdean@risnjak,2024-06-14 10:58:43+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-70.0,-200.0
rdean@risnjak,2024-06-14 10:58:53+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 10:59:03+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-70.0,-200.0
luka@risnjak,2024-06-14 10:59:06+02:00,16.4654,43.5113,0,65,0,0,0,142.29584,-86.0,-53.0
luka@risnjak,2024-06-14 10:59:07+02:00,16.4654,43.5113,0,65,0,0,0,142.29584,-86.0,-53.0
luka@risnjak,2024-06-14 10:59:07+02:00,16.4654,43.5113,0,65,0,0,0,142.29584,-86.0,-53.0
rdean@risnjak,2024-06-14 10:59:13+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-71.0,-200.0
luka@risnjak,2024-06-14 10:59:17+02:00,16.4654,43.5113,0,65,0,0,0,169.9137,-86.0,-55.0
rdean@risnjak,2024-06-14 10:59:23+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-71.0,-200.0
luka@risnjak,2024-06-14 10:59:27+02:00,16.4654,43.5113,0,65,0,0,0,165.0943,-92.0,-54.0
rdean@risnjak,2024-06-14 10:59:33+02:00,18.6962,45.5487,0,41,1,0,0,11.054657,-71.0,-200.0
luka@risnjak,2024-06-14 10:59:37+02:00,16.4654,43.5113,0,65,0,0,0,143.55762,-92.0,-54.0
rdean@risnjak,2024-06-14 10:59:43+02:00,18.6962,45.5487,0,42,1,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 10:59:53+02:00,18.6962,45.5487,0,42,1,0,0,11.054657,-72.0,-200.0
rdean@risnjak,2024-06-14 11:00:03+02:00,18.6962,45.5487,0,42,1,0,0,11.054657,-73.0,-200.0
rdean@risnjak,2024-06-14 11:00:13+02:00,18.6962,45.5487,0,42,1,0,0,11.054657,-73.0,-200.0
rdean@risnjak,2024-06-14 11:00:23+02:00,18.6962,45.5487,0,42,1,0,0,11.054657,-73.0,-200.0
rdean@risnjak,2024-06-14 11:00:33+02:00,18.6962,45.5487,0,42,1,0,0,11.054657,-73.0,-200.0
rdean@risnjak,2024-06-14 11:00:43+02:00,18.6962,45.5487,0,43,1,0,0,11.054657,-73.0,-200.0
rdean@risnjak,2024-06-14 11:00:53+02:00,18.6962,45.5487,0,43,1,0,0,11.054657,-74.0,-200.0
rdean@risnjak,2024-06-14 11:01:03+02:00,18.6962,45.5487,0,43,1,0,0,11.054657,-74.0,-200.0
rdean@risnjak,2024-06-14 11:01:13+02:00,18.6962,45.5487,0,44,0,0,0,11.054657,-74.0,-200.0
rdean@risnjak,2024-06-14 11:01:23+02:00,18.6962,45.5487,0,44,0,0,0,11.054657,-74.0,-200.0
rdean@risnjak,2024-06-14 11:01:33+02:00,18.6962,45.5487,0,44,0,0,0,11.054657,-72.0,-200.0
rdean@risnjak,2024-06-14 11:01:43+02:00,18.6962,45.5487,0,44,0,0,0,11.054657,-72.0,-200.0
rdean@risnjak,2024-06-14 11:01:53+02:00,18.6962,45.5487,0,44,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:02:03+02:00,18.6962,45.5487,0,44,0,0,0,11.054657,-70.0,-200.0
rdean@risnjak,2024-06-14 11:02:13+02:00,18.6962,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:02:23+02:00,18.6962,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:02:33+02:00,18.6962,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:02:43+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:02:53+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:03:03+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:03:13+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:03:23+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:03:33+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:03:43+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:03:53+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:04:03+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:04:13+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:04:23+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:04:33+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:04:43+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:04:53+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
rdean@risnjak,2024-06-14 11:05:03+02:00,18.6961,45.5487,0,43,0,0,0,11.054657,-71.0,-200.0
